start_time,end_time,duration
2016-03-11T01:33:00-05:00,2016-03-11T01:34:00-05:00,1
2016-03-11T00:25:00-05:00,2016-03-11T00:38:00-05:00,13
2016-03-11T00:16:00-05:00,2016-03-11T00:20:00-05:00,4
2016-03-10T23:32:00-05:00,2016-03-10T23:33:00-05:00,1
2016-03-10T21:47:00-05:00,2016-03-10T21:48:00-05:00,1
2016-03-10T21:27:00-05:00,2016-03-10T21:40:00-05:00,13
2016-03-10T20:18:00-05:00,2016-03-10T21:03:00-05:00,45
2016-03-10T14:03:00-05:00,2016-03-10T20:16:00-05:00,373
2016-03-10T11:12:00-05:00,2016-03-10T12:22:00-05:00,70
2016-03-10T09:58:00-05:00,2016-03-10T10:40:00-05:00,42
2016-03-10T09:51:00-05:00,2016-03-10T09:54:00-05:00,3
2016-03-10T02:32:00-05:00,2016-03-10T02:44:00-05:00,12
2016-03-09T23:34:00-05:00,2016-03-09T23:36:00-05:00,2
2016-03-09T12:50:00-05:00,2016-03-09T12:51:00-05:00,1
2016-03-09T11:10:00-05:00,2016-03-09T11:12:00-05:00,2
2016-03-09T10:33:00-05:00,2016-03-09T10:40:00-05:00,7
2016-03-08T23:57:00-05:00,2016-03-08T23:58:00-05:00,1
2016-03-08T16:26:00-05:00,2016-03-08T16:29:00-05:00,3
2016-03-08T12:40:00-05:00,2016-03-08T13:19:00-05:00,39
2016-03-08T12:16:00-05:00,2016-03-08T12:17:00-05:00,1
2016-03-08T11:52:00-05:00,2016-03-08T12:04:00-05:00,12
2016-03-08T09:47:00-05:00,2016-03-08T10:23:00-05:00,36
2016-03-08T09:23:00-05:00,2016-03-08T09:26:00-05:00,3
2016-03-08T09:05:00-05:00,2016-03-08T09:10:00-05:00,5
2016-03-08T05:28:00-05:00,2016-03-08T09:04:00-05:00,216
2016-03-08T04:40:00-05:00,2016-03-08T04:42:00-05:00,2
2016-03-08T00:18:00-05:00,2016-03-08T04:18:00-05:00,240
2016-03-07T19:12:00-05:00,2016-03-07T22:23:00-05:00,191
2016-03-07T18:39:00-05:00,2016-03-07T19:08:00-05:00,29
2016-03-07T17:34:00-05:00,2016-03-07T17:36:00-05:00,2
2016-03-07T17:11:00-05:00,2016-03-07T17:32:00-05:00,21
2016-03-07T17:09:00-05:00,2016-03-07T17:10:00-05:00,1
2016-03-07T16:28:00-05:00,2016-03-07T16:29:00-05:00,1
2016-03-07T16:25:00-05:00,2016-03-07T16:27:00-05:00,2
2016-03-07T16:00:00-05:00,2016-03-07T16:08:00-05:00,8
2016-03-07T15:53:00-05:00,2016-03-07T15:54:00-05:00,1
2016-03-07T15:41:00-05:00,2016-03-07T15:43:00-05:00,2
2016-03-07T15:17:00-05:00,2016-03-07T15:36:00-05:00,19
2016-03-07T14:47:00-05:00,2016-03-07T15:05:00-05:00,18
2016-03-07T11:59:00-05:00,2016-03-07T14:24:00-05:00,145
2016-03-07T08:26:00-05:00,2016-03-07T08:53:00-05:00,27
2016-03-07T05:08:00-05:00,2016-03-07T05:32:00-05:00,24
2016-03-07T03:09:00-05:00,2016-03-07T03:15:00-05:00,6
2016-03-06T19:30:00-05:00,2016-03-06T19:31:00-05:00,1
2016-03-06T03:46:00-05:00,2016-03-06T03:47:00-05:00,1
2016-03-06T03:09:00-05:00,2016-03-06T03:24:00-05:00,15
2016-03-06T01:54:00-05:00,2016-03-06T01:56:00-05:00,2
2016-03-06T00:52:00-05:00,2016-03-06T00:55:00-05:00,3
2016-03-05T19:29:00-05:00,2016-03-06T00:39:00-05:00,310
2016-03-05T12:47:00-05:00,2016-03-05T12:48:00-05:00,1
2016-03-05T10:18:00-05:00,2016-03-05T10:21:00-05:00,3
2016-03-05T09:37:00-05:00,2016-03-05T10:12:00-05:00,35
2016-03-05T09:34:00-05:00,2016-03-05T09:36:00-05:00,2
2016-03-05T09:25:00-05:00,2016-03-05T09:32:00-05:00,7
2016-03-05T08:45:00-05:00,2016-03-05T09:07:00-05:00,22
2016-03-05T07:54:00-05:00,2016-03-05T08:07:00-05:00,13
2016-03-05T03:57:00-05:00,2016-03-05T03:59:00-05:00,2
2016-03-05T02:56:00-05:00,2016-03-05T02:57:00-05:00,1
2016-03-05T02:45:00-05:00,2016-03-05T02:47:00-05:00,2
2016-03-05T02:25:00-05:00,2016-03-05T02:31:00-05:00,6
2016-03-05T02:09:00-05:00,2016-03-05T02:14:00-05:00,5
2016-03-05T02:00:00-05:00,2016-03-05T02:08:00-05:00,8
2016-03-05T01:56:00-05:00,2016-03-05T01:57:00-05:00,1
2016-03-05T01:47:00-05:00,2016-03-05T01:48:00-05:00,1
2016-03-05T01:22:00-05:00,2016-03-05T01:34:00-05:00,12
2016-03-05T01:16:00-05:00,2016-03-05T01:20:00-05:00,4
2016-03-05T01:14:00-05:00,2016-03-05T01:15:00-05:00,1
2016-03-04T22:42:00-05:00,2016-03-05T01:02:00-05:00,140
2016-03-04T22:28:00-05:00,2016-03-04T22:30:00-05:00,2
2016-03-04T21:33:00-05:00,2016-03-04T21:37:00-05:00,4
2016-03-04T20:27:00-05:00,2016-03-04T20:29:00-05:00,2
2016-03-04T18:00:00-05:00,2016-03-04T19:59:00-05:00,119
